Date,Individual,Captured
28-May-13,R..RR,1
28-May-13,R.R.R,1
28-May-13,R.RR.,1
28-May-13,RR..R,1
28-May-13,RR.R.,1
28-May-13,RRR..,1
29-May-13,..OOO,1
29-May-13,OO...,1
29-May-13,OO..O,1
29-May-13,OO.O.,1
29-May-13,OOO..,1
29-May-13,RR.R.,1
30-May-13,BB.B.,1
30-May-13,BBBB.,1
30-May-13,RR.R.,1
11-Jun-13,..BB.,1
11-Jun-13,.B.B.,1
11-Jun-13,B...B,1
11-Jun-13,B.B.B,1
11-Jun-13,B.BB.,1
11-Jun-13,BB..B,1
12-Jun-13,..BBB,1
12-Jun-13,.B.BB,1
12-Jun-13,.BB.B,1
12-Jun-13,.BBB.,1
12-Jun-13,B..BB,1
12-Jun-13,BB...,1
12-Jun-13,BBBB.,1
12-Jun-13,R.R..,1
12-Jun-13,RR...,1
12-Jun-13,RR..B,1
12-Jun-13,RR.B.,1
12-Jun-13,RRB..,1
13-Jun-13,.OOO.,1
13-Jun-13,O..OO,1
13-Jun-13,O.O.O,1
13-Jun-13,O.OO.,1
18-Jun-13,OO.O.,1
18-Jun-13,RR.R.,1
18-Jun-13,YYB..,1
19-Jun-13,..B..,1
19-Jun-13,..B.Y,1
19-Jun-13,..BBY,1
19-Jun-13,..OOO,1
19-Jun-13,..Y..,1
19-Jun-13,..Y.B,1
19-Jun-13,.B...,1
19-Jun-13,.B.BB,1
19-Jun-13,.B.BY,1
19-Jun-13,.BB.Y,1
19-Jun-13,.BBY.,1
19-Jun-13,.BYB.,1
19-Jun-13,B..BY,1
19-Jun-13,B..YB,1
19-Jun-13,B.B.Y,1
19-Jun-13,B.BY.,1
19-Jun-13,B.Y.B,1
19-Jun-13,B.YB.,1
19-Jun-13,BB..Y,1
19-Jun-13,BB.Y.,1
19-Jun-13,BBBB.,1
19-Jun-13,BBY..,1
19-Jun-13,BY..B,1
19-Jun-13,O..OO,1
19-Jun-13,O.OO.,1
19-Jun-13,OO...,1
19-Jun-13,OOO..,1
19-Jun-13,RRB..,1
20-Jun-13,..B.Y,1
20-Jun-13,..YYB,1
20-Jun-13,.Y.YB,1
20-Jun-13,.YB.Y,1
20-Jun-13,.YY.B,1
20-Jun-13,.YYB.,1
20-Jun-13,B..BB,1
20-Jun-13,BBBB.,1
20-Jun-13,OO...,1
20-Jun-13,OOO..,1
20-Jun-13,R.R..,1
20-Jun-13,Y..YB,1
20-Jun-13,Y.BY.,1
20-Jun-13,Y.Y.B,1
20-Jun-13,Y.YB.,1
20-Jun-13,YB..Y,1
20-Jun-13,YB.Y.,1
20-Jun-13,YBY..,1
20-Jun-13,YY..B,1
20-Jun-13,YY.B.,1
20-Jun-13,YYB..,1
28-Jun-13,.BYB.,1
28-Jun-13,.R.RR,1
28-Jun-13,.RR.R,1
28-Jun-13,.RRR.,1
28-Jun-13,.YB.Y,1
28-Jun-13,R..RR,1
29-Jun-13,....O,1
29-Jun-13,..BB.,1
29-Jun-13,..BBB,1
29-Jun-13,..BBY,1
29-Jun-13,..O..,1
29-Jun-13,.B.B.,1
29-Jun-13,.BO.O,1
29-Jun-13,.BOO.,1
29-Jun-13,.O.OO,1
29-Jun-13,.OO.O,1
29-Jun-13,.RRO.,1
29-Jun-13,B..BY,1
29-Jun-13,B..OO,1
29-Jun-13,B.B.B,1
29-Jun-13,B.B.Y,1
29-Jun-13,B.O.O,1
29-Jun-13,B.OO.,1
29-Jun-13,BB.B.,1
29-Jun-13,BO..O,1
29-Jun-13,BO.O.,1
29-Jun-13,BOO..,1
29-Jun-13,O.O.Y,1
29-Jun-13,O.OO.,1
29-Jun-13,OOO..,1
29-Jun-13,R.R..,1
29-Jun-13,RR..B,1
29-Jun-13,RR..O,1
29-Jun-13,RR.O.,1
29-Jun-13,RRO..,1
29-Jun-13,Y.OOO,1
29-Jun-13,Y.YB.,1
29-Jun-13,YYB..,1
30-Jun-13,..B.Y,1
30-Jun-13,..BBB,1
30-Jun-13,..BBY,1
30-Jun-13,..Y..,1
30-Jun-13,..YYB,1
30-Jun-13,..YYO,1
30-Jun-13,.B.B.,1
30-Jun-13,.BB.B,1
30-Jun-13,.OOO.,1
30-Jun-13,.RRO.,1
30-Jun-13,B.BY.,1
30-Jun-13,BBBB.,1
30-Jun-13,BY..B,1
30-Jun-13,O.O.O,1
30-Jun-13,R.R.R,1
30-Jun-13,RRB..,1
30-Jun-13,Y.OOO,1
30-Jun-13,Y.OY.1,1
30-Jun-13,YBY..,1
30-Jun-13,YO..Y,1
30-Jun-13,YO.Y.,1
30-Jun-13,YOY..,1
30-Jun-13,YY.B.,1
27-Sep-13,....O,1
27-Sep-13,..BBB,1
27-Sep-13,..OOB,1
27-Sep-13,.BBY.,1
27-Sep-13,.BOO.,1
27-Sep-13,.O.OB,1
27-Sep-13,.OO.B,1
27-Sep-13,.OOB.,1
27-Sep-13,.RR.B,1
27-Sep-13,.RRB.,1
27-Sep-13,BB..Y,1
27-Sep-13,BBBB.,1
27-Sep-13,O..OB,1
27-Sep-13,O.O.B,1
27-Sep-13,O.OB.,1
27-Sep-13,OO..B,1
27-Sep-13,OO.B.,1
27-Sep-13,OOB..,1
27-Sep-13,R..RB,1
27-Sep-13,R.R.B,1
27-Sep-13,R.RB.,1
27-Sep-13,RR..O,1
27-Sep-13,YB..Y,1
27-Sep-13,YO..Y,1
27-Sep-13,YYB..,1
28-Sep-13,....O,1
28-Sep-13,..RRY,1
28-Sep-13,..Y.B,1
28-Sep-13,.BB.Y,1
28-Sep-13,.BYB.,1
28-Sep-13,.O.OO,1
28-Sep-13,.R.RR,1
28-Sep-13,.R.RY,1
28-Sep-13,.RR.Y,1
28-Sep-13,.RRY.,1
28-Sep-13,B.B.Y,1
28-Sep-13,B.Y.B,1
28-Sep-13,OO..O,1
28-Sep-13,OO.B.,1
28-Sep-13,R..RB,1
28-Sep-13,R..RY,1
28-Sep-13,R.R.B,1
28-Sep-13,R.R.Y,1
28-Sep-13,R.RY.,1
28-Sep-13,RR..B,1
28-Sep-13,RR..Y,1
28-Sep-13,RR.Y.,1
28-Sep-13,RRY..,1
28-Sep-13,RY..R,1
28-Sep-13,RY.R.,1
28-Sep-13,RYR..,1
29-Sep-13,RRY..,1
8-Jun-14,R.R.R,1
9-Jun-14,..BBB,1
9-Jun-14,..ROO,1
9-Jun-14,..Y..,1
9-Jun-14,.R...,1
9-Jun-14,.R.OO,1
9-Jun-14,.R.RY,1
9-Jun-14,.RO.O,1
9-Jun-14,.ROO.,1
9-Jun-14,.RR.B,1
9-Jun-14,B...B,1
9-Jun-14,B..BY,1
9-Jun-14,B.BB.,1
9-Jun-14,B.Y.B,1
9-Jun-14,O.O.Y,1
9-Jun-14,O.R.R,1
9-Jun-14,O.RR.,1
9-Jun-14,OR..R,1
9-Jun-14,OR.R.,1
9-Jun-14,ORR..,1
9-Jun-14,R....,1
9-Jun-14,R..OO,1
9-Jun-14,R..RB,1
9-Jun-14,R.O.O,1
9-Jun-14,R.OO.,1
9-Jun-14,RO...,1
9-Jun-14,RO..O,1
9-Jun-14,RO.O.,1
9-Jun-14,ROO..,1
9-Jun-14,RR..O,1
9-Jun-14,RRY..,1
9-Jun-14,Y.BY.,1
9-Jun-14,Y.Y.B,1
9-Jun-14,Y.YB.,1
9-Jun-14,YO..Y,1
9-Jun-14,YOY..,1
9-Jun-14,YY..B,1
10-Jun-14,R.O..,1
11-Jun-14,..BBY,1
11-Jun-14,..YYB,1
11-Jun-14,..YYO,1
11-Jun-14,.BB.B,1
11-Jun-14,.O.OO,1
11-Jun-14,.RB..,1
11-Jun-14,.RO.O,1
11-Jun-14,.RR.R,1
11-Jun-14,.Y.YB,1
11-Jun-14,B.RR.,1
11-Jun-14,BBBB.,1
11-Jun-14,BR..R,1
11-Jun-14,BR.R.,1
11-Jun-14,BRR..,1
11-Jun-14,OR.R.,1
11-Jun-14,R...B,1
11-Jun-14,R..B.,1
11-Jun-14,R..RB,1
11-Jun-14,R.R.B,1
11-Jun-14,RB...,1
11-Jun-14,RO.O.,1
11-Jun-14,Y.Y.B,1
20-Jun-14,..BBB,1
20-Jun-14,..BBY,1
20-Jun-14,..Y..,1
20-Jun-14,..YYB,1
20-Jun-14,.BB.B,1
20-Jun-14,.O.OO,1
20-Jun-14,.RR.R,1
20-Jun-14,.YY..,1
20-Jun-14,B...B,1
20-Jun-14,B..BY,1
20-Jun-14,B.Y.B,1
20-Jun-14,BRR..,1
20-Jun-14,O.O.Y,1
20-Jun-14,O.RR.,1
20-Jun-14,OR.R.,1
20-Jun-14,R.R.R,1
20-Jun-14,R.RY.,1
20-Jun-14,ROO..,1
20-Jun-14,Y.YY.,1
20-Jun-14,YO..Y,1
20-Jun-14,YY...,1
20-Jun-14,YY..Y,1
20-Jun-14,YY.Y.,1
20-Jun-14,YYY..,1
21-Jun-14,YY..B,1
22-Jun-14,..BBB,1
22-Jun-14,.Y.YY,1
22-Jun-14,R..RB,1
22-Jun-14,Y.Y..,1
22-Jun-14,Y.Y.Y,1
22-Jun-14,Y.YY.,1
23-Jun-14,RB...,1
9-Jul-14,OO...,1
9-Jul-14,R...B,1
9-Jul-14,R..RB,1
9-Jul-14,RB...,1
9-Jul-14,ROO..,1
9-Jul-14,Y..YY,1
9-Jul-14,Y.BY.,1
10-Jul-14,...RY,1
10-Jul-14,...YR,1
10-Jul-14,..BBB,1
10-Jul-14,..R.Y,1
10-Jul-14,..RY.,1
10-Jul-14,..RYY,1
10-Jul-14,..Y..,1
10-Jul-14,..Y.R,1
10-Jul-14,..YR.,1
10-Jul-14,..YYB,1
10-Jul-14,.B.BB,1
10-Jul-14,.O.OO,1
10-Jul-14,.R..R,1
10-Jul-14,.R..Y,1
10-Jul-14,.R.R.,1
10-Jul-14,.R.Y.,1
10-Jul-14,.R.YY,1
10-Jul-14,.RR..,1
10-Jul-14,.RR.R,1
10-Jul-14,.RR.Y,1
10-Jul-14,.RY..,1
10-Jul-14,.RY.Y,1
10-Jul-14,.RYY.,1
10-Jul-14,.Y..R,1
10-Jul-14,.Y.R.,1
10-Jul-14,.YR..,1
10-Jul-14,.YY..,1
10-Jul-14,B...B,1
10-Jul-14,BBBB.,1
10-Jul-14,O.O.B,1
10-Jul-14,O.O.Y,1
10-Jul-14,OR..R,1
10-Jul-14,OR.R.,1
10-Jul-14,R...R,1
10-Jul-14,R...Y,1
10-Jul-14,R..R.,1
10-Jul-14,R..Y.,1
10-Jul-14,R..YY,1
10-Jul-14,R.Y..,1
10-Jul-14,R.Y.Y,1
10-Jul-14,R.YY.,1
10-Jul-14,RO.O.,1
10-Jul-14,RY...,1
10-Jul-14,RY..Y,1
10-Jul-14,RY.Y.,1
10-Jul-14,RYR..,1
10-Jul-14,RYY..,1
10-Jul-14,Y...R,1
10-Jul-14,Y..R.,1
10-Jul-14,Y.R..,1
10-Jul-14,YO.Y.,1
10-Jul-14,YOY..,1
10-Jul-14,YR...,1
10-Jul-14,YY...,1
10-Jul-14,YY..B,1
10-Jul-14,YY.Y.,1
10-Jul-14,YYY..,1
11-Jul-14,....O,1
11-Jul-14,.R...,1
11-Jul-14,BO.B.,1
11-Jul-14,BOB..,1
12-Jul-14,..BBB,1
12-Jul-14,.O.OO,1
12-Jul-14,.R.YY,1
12-Jul-14,.ROO.,1
12-Jul-14,.RR.R,1
12-Jul-14,.Y.YY,1
12-Jul-14,B...B,1
12-Jul-14,BBBB.,1
12-Jul-14,BRR..,1
12-Jul-14,O.R.R,1
12-Jul-14,OR..R,1
12-Jul-14,R...B,1
12-Jul-14,R..OO,1
12-Jul-14,Y...B,1
12-Jul-14,Y..B.,1
12-Jul-14,Y.B..,1
12-Jul-14,Y.BB.,1
12-Jul-14,Y.Y..,1
12-Jul-14,YB...,1
12-Jul-14,YB..B,1
12-Jul-14,YB.B.,1
12-Jul-14,YBB..,1
12-Jul-14,YY.Y.,1
25-Jul-14,BR...,1
25-Jul-14,BRB..,1
26-Jul-14,..BBB,1
26-Jul-14,..O..,1
26-Jul-14,..YYO,1
26-Jul-14,.B...,1
26-Jul-14,.O.OO,1
26-Jul-14,.ROO.,1
26-Jul-14,.RY.Y,1
26-Jul-14,.Y.YB,1
26-Jul-14,BR...,1
26-Jul-14,BRR..,1
26-Jul-14,O...R,1
26-Jul-14,O..R.,1
26-Jul-14,O.O.B,1
26-Jul-14,O.RO.,1
26-Jul-14,OR..O,1
26-Jul-14,OR..R,1
26-Jul-14,OR.O.,1
26-Jul-14,ORO..,1
26-Jul-14,R..RB,1
26-Jul-14,R.R.B,1
26-Jul-14,RO...,1
26-Jul-14,RO.O.,1
26-Jul-14,Y.YY.,1
26-Jul-14,YB..B,1
27-Jul-14,.R...,1
27-Jul-14,.R.O.,1
27-Jul-14,.RB..,1
27-Jul-14,.RO..,1
27-Jul-14,B..OO,1
27-Jul-14,B.B.Y,1
27-Jul-14,O.RO.,1
27-Jul-14,YR...,1
28-Jul-14,..O..,1
28-Jul-14,..ROO,1
28-Jul-14,..Y..,1
28-Jul-14,..YYB,1
28-Jul-14,..YYY,1
28-Jul-14,.R..Y,1
28-Jul-14,.Y.YB,1
28-Jul-14,.YY.Y,1
28-Jul-14,.YYY.,1
28-Jul-14,BRR..,1
28-Jul-14,O.O.B,1
28-Jul-14,O.RO.,1
28-Jul-14,R..OO,1
28-Jul-14,R..RB,1
28-Jul-14,R.Y.Y,1
28-Jul-14,RO.O.,1
28-Jul-14,RY..Y,1
28-Jul-14,RY.Y.,1
28-Jul-14,RYR..,1
28-Jul-14,Y.BB.,1
28-Jul-14,Y.Y.B,1
28-Jul-14,YY.Y.,1
19-Jun-15,..ROO,1
19-Jun-15,..YOY,1
19-Jun-15,.O.OO,1
19-Jun-15,.ROO.,1
19-Jun-15,.RR.R,1
19-Jun-15,.Y.OY,1
19-Jun-15,.Y.YB,1
19-Jun-15,.YO.Y,1
19-Jun-15,.YOO.,1
19-Jun-15,.YOY.,1
19-Jun-15,BBBB.,1
19-Jun-15,O.RO.,1
19-Jun-15,O.RR.,1
